1151804,aurora,170702
1268749,beta,492860
1088247,aurora,200395
1131433,beta,105908
1162860,beta,222069
1111947,aurora,103042
1128027,beta,291226
1274516,beta,73175
1257234,beta,393515
1290365,aurora,676505
1290365,beta,676505
1253507,aurora,532491
1128069,beta,137545
1222617,aurora,239658
1130231,aurora,265327
1123535,beta,273066
1224433,aurora,77642
1264694,aurora,564278
1158761,beta,96206
1249849,aurora,374567
1266889,beta,122547
1243607,aurora,334763
1170809,aurora,600359
1068189,beta,271224
1260908,aurora,238862
1221855,beta,265309
1248948,aurora,271921
1247327,beta,326491
1101122,beta,125783
1270664,aurora,764877
