uplift_id,regression_id,reproducible,how_found
1230209,1240766,,
1108035,1123966,,
1220037,1223520,,
1074401,1084323,,
1232069,1253471,,
1132468,1176551,,
1208000,1225648,,
1219852,1220728,,
1072645,1073704,,
1244500,1265173,,
1125848,1180688,,
1167248,1236619,,
1258768,1265282,,
1063733,1078211,,
1141931,1181890,,
1050500,1168593,,
1221365,1226324,,
1117768,1122195,,
1185636,1191609,,
1250704,1280951,,
1085266,1124880,,
1244523,1251184,,
1171228,1192989,,
1143194,1149510,,
1258317,1266440,,
1073805,1096764,,
1234422,1237582,,
1235633,1263292,,
1235633,1265036,,
1089364,1104008,,
1137614,1159840,,
1049138,1117338,,
1114804,1170045,,
1193387,1200656,,
1193387,1200187,,
1154115,1178961,,
1118655,1148832,,
1119774,1228314,,
1154366,1156662,,
1246319,1249438,,
1066410,1067718,,
1126465,1128576,,
1147521,1153145,,
1238496,1246388,,
1096089,1125776,,
1083927,1142863,,
1152048,1190985,,
1152048,1277943,,
1243538,1266013,,
1219711,1223655,,
1263991,1286281,,
1263991,1287163,,
1246447,1294500,,
1262731,1264403,,
1216658,1272332,,
1173260,1243226,,
1213567,1240607,,
