Uplift ID,Fault IDs,Reason for uplift,Reason for failure,Remarks
1205456,1209843,crash,CtrlFlow,uplifted again
1198435,1266926,security,CtrlFlow,uplifted again
1063048,1137716,crash,driver,uplifted again
1160295,1195844,crash,driver,uplifted again
1185115,1216748,crash,CtrlFlow,uplifted again
1185639,1189709,hang,plugin^CtrlFlow,uplifted again
1154683,1158568,crash,crash,"uplifted again (""Turned out"," bug 1154683 was incorrectly fixed"")"
1147857,1153056,crash,CtrlFlow,"uplifted again (""Since the crash-fix was uplifted to release"," so is this regression"")"
1149605,1275853,crash^security,CornerC,flash media problem
1141081,1235573,security^crash,plugin,
1151309,1180105,perf^UI,MLK,
1133119,1224976,crash,CtrlFlow,
1083079,1130681,rendering,CornerC,
1044975,1087270^1251894,crash,CtrlFlow^range,uplifted again
1205083,1273691^1257028,crash,CornerC^CornerC,uplifted again
1159973,1195578,crash,op,
1151821,1161642,rendering,alloc,
1120673,,crash,,
1149842,,hang,,
1209464,,hang,,
1254980,,compat,,
1236975,,func,,
1160076,,func,,
1159300,,perf,,
1233434,,func,,
1156560,,func,,
1123732,,crash,,
1154703,,crash,,
1257861,,func,,
1222171,,crash,,
1058812,,security^compact,,
1178058,,security,,
1113121,,crash,,
1243942,,func,,
1157766,,func,,
1100501,,crash,,
1075620,,func,,
1151721,,func,,
1187613,,compile,,
1115227,,func,,
1158627,,crash,,
1278605,,crash,,
1233970,,func,,
1159495,,func,,
1209124,,crash,,
1178601,,crash,,
1203577,,refact,,
1162198,,func,,
1158568,,crash,,
1127925,,perf,,
1194733,,func,,
1244069,,feature,,
1104748,,func,,
1143878,,func,,
1129287,,func,,
1163651,,func,,
1258354,,crash,,
1134606,,security,,
1255731,,feature,,
1136616,,func,,
1117140,,security,,
1144988,,security,,
1062479,,crash,,potential crash due to memory leaks
1290469,,crash,,
1088729,,security,,
1140890,,func,,
1137716,,crash,,
1189593,,func,,
1151628,,func,,
1137050,,crash,,
1164419,,func,,
1081157,,func,,
1259482,,func,,
1137251,,crash,,
1167096,,func,,
1145844,,compat,,
1162412,,compat,,
1255139,,func,,
1162251,,func,,
1148328,,security,,
1189709,,func,,siverlight
1093694,,crash,,
1063971,,crash,,
1111330,,compile,,
1152016,,feature,,
1149761,,crash,,
1258562,,crash,,
1240559,,func,,
1276110,,perf,,
1138740,,func,,
1166771,,func,,
1155608,,func,,
1160663,,func,,related to pocket
1292721,,feature,,
1130061,,crash,,
1255735,,corrupt,,
1207665,,crash,,
1161810,,feature,,related to pocket
1218157,,perf,,
1139831,,func,,
1126918,,crash,,
1157784,,func,,
1141642,,compile,,
1104823,,func,,
1137580,,crash,,
1255605,,func,,
1103375,,crash,,
1153381,,func,,
1164766,,security,,
1046645,,func,,
1265928,,feature,,
1162205,,func,,
1212669,,security,,
1155518,,feature,,pocket
1254856,,func,,
1276920,,crash,,
1244076,,crash,,
1149864,,feature,,
1145870,,security,,
1156058,,crash,,
1075640,,crash,,
1206376,,corrupt,,
1116812,,crash,,
1181130,,func,,
1265815,,crash,,
1246956,,security,,
1080319,,func^feature,,
1083071,,func,,
1295296,,func,,
1241100,,security,,
1254694,,corrupt,,
1176073,,crash,,
1291078,,func,,
1165732,,perf,,
1165135,,func,,
1108971,,func,,
1244505,,func,,
1277522,,func,,
1089413,,crash,,
1259842,,func,,
1240892,,func^feature,,
1058131,,crash,,
1152354,,func^UI,,
1240607,,crash,,
1087565,,security,,
1144257,,crash,
1159814,,license,
1082051,,feature,
1158343,,func,
1144199,,func,
1262312,,perf^func,
1042889,,feature,
1151506,,crash,
1153403,,func,
