Uplift ID,Fault IDs,Reason for uplift,Reason for failure
1205456,1209843,,
1160407,1167756,,
1198435,1266926,,
1063048,1137716,,
1160295,1195844,,
1185115,1216748,,
1185639,1189709,,
1154683,1158568,,
1147857,1153056,,
1149605,1275853,,
1141081,1235573,,
1151309,1180105,,
1133119,1224976,,
1083079,1130681,,
1044975,1087270^1251894,,
1205083,1273691^1257028,,
1159973,1195578,,
1151821,1161642,,
1161793,,,
1120673,,,
1149842,,,
1209464,,,
1254980,,,
1236975,,,
1160076,,,
1159300,,,
1233434,,,
1156560,,,
1123732,,,
1154703,,,
1257861,,,
1222171,,,
1058812,,,
1178058,,,
1113121,,,
1243942,,,
1160678,,,
1157766,,,
1164161,,,
1100501,,,
1075620,,,
1164302,,,
1151721,,,
1187613,,,
1164940,,,
1115227,,,
1158627,,,
1278605,,,
1233970,,,
1159495,,,
1209124,,,
1178601,,,
1203577,,,
1166240,,,
1162198,,,
1164407,,,
1158568,,,
1127925,,,
1155521,,,
1194733,,,
1244069,,,
1104748,,,
1143878,,,
1129287,,,
1159410,,,
1162147,,,
1163651,,,
1258354,,,
1134606,,,
1161796,,,
1255731,,,
1136616,,,
1117140,,,
1144988,,,
1062479,,,
1290469,,,
1088729,,,
1159744,,,
1140890,,,
1137716,,,
1189593,,,
1151628,,,
1137050,,,
1164419,,,
1081157,,,
1259482,,,
1137251,,,
1167096,,,
1145844,,,
1163360,,,
1162412,,,
1255139,,,
1162251,,,
1165416,,,
1148328,,,
1163319,,,
1161881,,,
1189709,,,
1093694,,,
1063971,,,
1111330,,,
1152016,,,
1164208,,,
1149761,,,
1258562,,,
1240559,,,
1276110,,,
1138740,,,
1166771,,,
1155608,,,
1160663,,,
1292721,,,
1163111,,,
1130061,,,
1255735,,,
1207665,,,
1161810,,,
1218157,,,
1164253,,,
1139831,,,
1126918,,,
1157784,,,
1141642,,,
1104823,,,
1163265,,,
1163349,,,
1137580,,,
1255605,,,
1103375,,,
1153381,,,
1164766,,,
1046645,,,
1265928,,,
1162205,,,
1212669,,,
1155518,,,
1254856,,,
1276920,,,
1244076,,,
1149864,,,
1145870,,,
1156058,,,
1075640,,,
1206376,,,
1116812,,,
1181130,,,
1265815,,,
1246956,,,
1080319,,,
1162283,,,
1083071,,,
1295296,,,
1241100,,,
1254694,,,
1176073,,,
1291078,,,
1165732,,,
1165135,,,
1108971,,,
1156878,,,
1244505,,,
1277522,,,
1089413,,,
1259842,,,
1240892,,,
1058131,,,
1152354,,,
1240607,,,
1087565,,,
